text_data,topic
good product!. great product!  purchase with flavor non-flavor one tastes bad.,Bad Taste/Flavor
"expecting better taste. i got this for after surgery.  i thought it would be a great and easy way to get the extra protein i need to heal.  however, the taste was not great.  i was really surprised because i have had other proteins from this company and they are fine and even very good.  so, this is a no-go for me.  the taste is off.  it should be smooth, creamy, and lovely vanilla.  it was smooth and creamy enough, but not lovely tasting.  and when you are sick or recovering, you really only want what tastes great for what little you can get down.  although super convenient, this was not a great drink for me.",Allergic
not working for me.. i’ve been using these for about three weeks now & haven’t lost any weight so i’m wondering if they are really effective at all.  not for me so far.  kind of disappointed.,Not Effective
gross. this stuff doesn't taste good at all.. and even the scent is a little off. all the good reviews had me fooled i guess. but i'm going back to the type i've used in the past. this barely tastes like coconut and has a weird chemical flavor. no good.,Bad Taste/Flavor
"very hard to dissolve in water, has fruit allergens. this is very hard to mix in water.. it also makes me sweat like when i eat fruit so that means it has fruit stuff besides the fiber from the fruit. bad for fructose intolerant people and also a pain to mix. get whole husk psyllium instead and avoid this.",Quality/Contaminated
"new formula is terrible. as of a few months ago, optimum nutrition must have updated their formula and the new formula tastes terrible. this used to be one of the best tasting protein powders, but the new formula is way worse. when i tried it, i immediately noticed something was off with the flavor, so i returned it assuming i just got a bad batch. but the replacement they sent me tasted exactly like the first one, so i can only assume that they changed their formula, probably to cut costs (not that they’ve passed those savings on to consumers though). it’s hard to describe the new flavor, but it’s kind of a sour, metallic taste. i’ve been buying this protein powder for nearly 8 years, but i’m never buying this again.",Quality/Contaminated
tastes icky. cannot get over the taste.  yuck.  i even tried half a scoop and still have to force it down. the 3 stars is for the quality as you can tell it’s higher quality than the one i usually use.,Bad Taste/Flavor
"decent taste, awful texture. first time with pea protein, not a fan.",Texture
articifial flavor. i usually love vega one products. this only tastes like artificial sweetener. i will not buy this flavor every again.,Customer Service
"c-4 upset stomach. was not happy with this c-4 product. the scoop size is huge, jittery energy and upset stomach. tried it a couple times same result. no thanks.",Allergic
"""expires before you can use them all"". i am giving this 1 star because when recieved on 6-28-2019 i opened the package and checked expiration date and it was for 4/2020. these vitamins come with 365 tablets ""take one a day"" year supply and it expires before i can take them all. not very happy. hopefully ""x brand"" will fix this problem!!",Expiry
lots of caffeine. lots of caffeine in these but you get used to them quickly. not sure about the fat burning qualities.,Allergic
"yuck. i didn’t know it was possible to mess up orange flavor, but they did. it’s not pleasant at all, plus the texture is chalky, tums-like. i won’t be ordering this again. i’m struggling to even get through this jar.",Bad Taste/Flavor
"read reviews. i bought this brand as i have in past -protein powder. the taste of this product is very bitter, so bitter that i cannot find anything to mix with it. do not recommend this flavor!",Bad Taste/Flavor
"mushy texture. the taste of these are fine, but it'd be a stretch to call these gummies- the insides are very mushy and feels a little gross when it's something you have to take daily.",Color and texture
"dont buy it. when i use the first one, i got a bad stomachache.do not buy it.",Customer Service
disappointing. leakage prone and the sticky doesnt keep them in place!,Color and texture
don’t buy this. it’s look like you send me a  fake protein  it make me feel  so bad i throw up all night .  it’s has  horrible taste that doesn’t leave your tongue for hours,Quality/Contaminated
lost in transit. never received,Shipment and delivery
"bottle delivered badly deformed.. not a review of the effectiveness of the supplement, but rather the delivery of the product in damaged/deformed bottle.",Packaging
"allergic reaction. i am sad to say that i too, have gotten rashes while taking these vitamins.  my face would start burning ,my neck would itch and i developed the most horrific red rash all over my face and neck.",Allergic
be careful. it got me sick,Allergic
tastes old!. they are gritty and dry on the outside and they smell awful!,Smells Bad
"not bad. has a flavor that takes a little getting used to. it's not neutral tasting like a lot of protein powders. among the three different brands i have open right now, i go to this one the least because the flavor is so distinctive and challenging.however, this one seems to have the biggest variety of good ingredients in it, so perhaps getting used to the flavor will be worth it. it would be good to try a sample of this before buying a big container to see if the flavor agrees with you.",Bad Taste/Flavor
"sour!!!!!!. sour!!! and too big to swallow. it's a great value of you can handle the extreme sour taste. i tried but i just couldn't take it anymore after several weeks. now i'm stuck with the whole jug, ugh.",Too big to swallow
"the taste is too sweet.. i bought this flavor as at the time it was cheaper than mint, but i do not plan to buy it again as it is too sweet for my taste.",Too Sweet
good product. great product. i was just a little allergic.,Allergic
"insult to actual cake. these where literally horrible.  seriously.  like a complete insult to actual cake.  if you’re hoping these taste even remotely like cake (fluffy, soft, airy) keep moving.  these were like little cheery rubber pucks made of some kind of weird dense paste.  like a thin mint, only without the good parts.  and why aren’t they green inside?  don’t make them green on the package if they are a weird caramel color inside.rest of the box went straight in the trash.  which is disappointing because i like on whey powder and had high hopes.",Texture
this arrived meted into a big gelatinous mass.. never could try them because they were shipped in a mailing envelope and melted into one puddle.  if you want to try them i suggest not ordering them online.,Customer Service
"started itching after a while.. sorry. we had been buying pampers sensitive and decided to try these.we were on round 2 or 3 of subscribe and save and both a parent and a child developed an itch in the area they are used.in the products defense, another child and adult were fine.i did not love the texture, not as important, but something to note.so i had to give the bad review, sorry.",Quality/Contaminated
"this brand doesn't work for me. i've used other brands of melatonin and sleep well. but when i take these, i wake very hour.",Not Effective
"disappointed in the seller for trying to sell my a poorly packaged product.. i'm always skeptical to buy supplements on ""x brand"" because you never know if they are counterfeit. i purchased nordic naturals brand supplements for my baby and myself. when the orders came, everything was well packed. to my dismay, when i took off the plastic packaging around the vitamin d drops, the box was oily. i then opened the box, and inspected the bottle. the bottle was oily, yet the lid looked in tact as the top part of the lid had no separation in the perforation. i then opened the lid expecting the lid to separate from the perforation, and the lid came off without cleanly without separating from the perforation. i also noticed that the container was only half full. i'm not sure if this is the seller trying to pull a fast one or if this was poorly packaged by nordic naturals. at any rate, i will not buy any supplements from ""x brand"" again.",Customer Service
"toxic kind of cinnamon.. be careful, it contains coumarin, and can damage liver. after about 4 months of taking it, started having pain on my right side. physician asked me about my diet, told him i was taking this product, and told me to stop taking it and research the side effects. this cinnamomum burmannii cinnamon is not safe to consume over periods of more than a few months. my bad, should have researched the item more carefully.",Quality/Contaminated
"awful leakage - do not buy!. i’ve never posted a single review on ""x brand"" and i’ve received a fair share of bad products. but ""x brand"" diapers is by far the worst product i have ever used. every. single. diaper. leaked!!!!!! every time my 5 month old would poop, it would leak immediately!!! i change my child pretty often and that didn’t matter. all clothes stained. my first time trying ""x brand"" diapers was a huge disappointment and very frustrating. back to pampers we go. it’s an awful product, please stay away.",Customer Service
"gained weight. i bought this product wishing to lose some pound to attend a wedding. i took it for 6 days, i got stomach pain on day 4 that stays till i stopped it. i gained 1 pound during these 6 days. this product is not working for me at all.",Not Effective
made me constipated. i have the same diet and routine and the only change i made was starting this vitamin...and i am having lots of issues. used to go to the bathroom regularly every morning and now it takes me days. i gave them some time to see if my body would get used to them but still no success. seems like an unnatural response based on other reviews but nothing else lifestyle/diet wise has changed.,Not Effective
"arrived with a heating pad, not an ice pack. a waste of $40. package arrived in hot bag. i have no idea how long it was in transit, but the ice pack was basically a heating pad by the time it arrived to me. did the milk test as others suggested and the milk didn’t do anything. so i guess i am just out $40? do not recommend buying this product. since it can not be futures or replaced.",Not Effective
"not good. not worth the cost, cheaply build, quality not at par with name brand paper towels.",Quality/Contaminated
"not sure.... i don't notice any difference when using these vitamins. sometimes i feel more energy when taking certain vitamins, or sleep a bit less. not with these, which is not to say they are bad or ineffective, just that i can't tell.",Not Effective
bad taste. taste bad. really no favor at all. will not order again,Quality/Contaminated
did not work for me. these pills did not work for me.,Not Effective
"disappointing. on is my ""go to"" for supplements, so i thought i would try this weight gainer.  to say i was disappointed was an under statement.  first, at best, the powder when blended taste like cold hot chocolate.  most of the time it just tastes terrible.  i have used both a shaker and a blender and no matter which method i used it just wouldn't mix well.  it also left an oily residue, which was bothersome.  the worst part was that it really upset my stomach.  i used it for two weeks straight and my stomach could never handle it.  the one pro was that it arrived in a sealed heavy-duty plastic container and not some cheap bag.",Bad Taste/Flavor
incredibly sticky and poor taste. these gummies are very sticky and hard to get off your teeth and they don't taste good either. i will be returning to vitafusion,Bad Taste/Flavor
yucky taste. i did not like the flavor at all and i usuallt love gummies. very waxy taste.,Bad Taste/Flavor
these are doable but i hate the smell of them.. yucky smell...like fish!,Smells Bad
good choice for vegans. mostly pleased with this multivitamin.  my big complaint is that it contains vitamin d2 not d3. i understand the d2 does not do much good but is included to keep it vegan. i like that these are not megadoses. i don't need to pee out my vitamins. some of the vitamins does not even have 100 percent of the rda. good choice for vegans. not sure about the rest of us.,Ingredients
"very very disappointed !!!. they should have labeled it ""chocolate flavor"".  it has no hint of mocha cappuccino flavor.  it is entirely hot chocolate flavor.  and i hate chocolate drinks.  i just wasted $18.",Bad Taste/Flavor
"good price, bad taste. this works just as well as any other melatonin product for me. i thought the cherry flavor might be nice, was expecting something similar to luden's cough drops, but this is very chemically/artificial tasting. these are slightly more expensive than the solimo unflavored so i think i'll switch back to them.",Pricing
"toxic kind of cinnamon.. be careful, it contains coumarin, and can damage liver. after about 4 months of taking it, started having pain on my right side. physician asked me about my diet, told him i was taking this product, and told me to stop taking it and research the side effects. this cinnamomum burmannii cinnamon is not safe to consume over periods of more than a few months. my bad, should have researched the item more carefully.",Allergic
no results whatsoever. i heard a lot about vitamin c benefits bit haven’t seen actually any results,Not Effective
"trash. super fluffy and light powder, doesn’t mix well and taste bad. no effect on workout.",Quality/Contaminated
no flavor. yuk.,Bad Taste/Flavor
taste great bad shipping. use smaller box fot shipping. i don't understand why you send a hugh box for one container. also the lid was loose and not sealed but the protection seal inside wasn't open.why isn't the container sealed with plastic like the creatine is?-2 stars just for shipping alone,Quality/Contaminated
disgusting!. this product tastes absolutely disgusting.,Bad Taste/Flavor
"too narrow and have no structure. yes they are long enough, but they are not wide enough and fold up lengthwise.  i will not order them again.  i have to wear two to get them to lay flat.",Customer Service
"seal broken- can i return it?. seal was broken.  questioning how it happened...? packaging was not crushed or punctured, so it’s curious! really enjoy this stuff last time i purchased from another location, so i’m sad about this!!",Packaging
"great deal but tastes gross. price-wise, this is a great deal.  i saw it being sold for much more at the local co-op.  however, the taste is awful.  this is supposed to be debittered but it is very much so still bitter and makes everything taste overwhelmingly like beer.  i tried putting this in lactation cookies and despite adding other strong tasting flavors like chocolate and peanut butter, the beer flavor still overwhelmed.",Bad Taste/Flavor
"batch #0000939160 is completely inedible. we've ordered this protein powder a couple times in the past and it was quite good. however, the last two orders (both ultimately from the same batch) have been beyond awful. it smells and tastes like plastic and is completely inedible. have submitted for refunds, but will not order again unless there's a way to validate that it's from a different batch.",Customer Service
awful flavor. i don’t know if i got a bad batch but the flavor was absolutely disgusting. i would actually have to hold my nose to just chew them. i eventually gave up cause i couldn’t deal with it anymore,Bad Taste/Flavor
good when done right.. but has bad batches. horrible taste. tastes as though it was a bad batch that they forgot to add flavor to. i had a batch of grape like this once before as well. this is a great product when it is done right..,Quality/Contaminated
terrible quality of the batch. i love this product most of the time but this was a really bad batch. quality control people!,Quality/Contaminated
"waste of money. this product was the healthiest choice based on the nutrition facts, but dont buy it. it tasted so bad! it's a waste of money because you will not want to drink it. i read a review that said, ""you will get use to the taste of dirt"". that review is not true. you also cannot chug it bc of the consistancy. the powder does not mix well so there are tiny pieces of powder in them also.",Bad Taste/Flavor
i didn't notice a difference. i did not notice a difference in dietary needs. not worth the money.,Pricing
"wrong item recieved. didn’t even receive this item.  received an ice tray instead, that i never ordered. the item isn’t returnable so i am stuck paying for something i never wanted and never got what i originally paid for.",Shipment and delivery
caused headaches. i gave this away because it was causing me headaches. im pretty sensitive and it was sad that i couldn’t continue taking these to actually see the results.,Allergic
"can't tackle big messes. these don't compare to the name brand wipes. family of 5 little kids, we use a lot of wipes. these don't cut through sticky messes and they're small and very thin. might be ok for wiping down less often used places but not good at tackling actual messes. i also didn't care for the lemon scent, felt it was too strong.",Color and texture
"if u really like it whole foods is a good choice.. this one is different from the one i get from whole foods. only half of the jar and i really doubt if it can offer 20 services like it says. i usually blend it with one small gala apple and two celery sticks and it tastes good to me. but the one i bought from ""x brand"" is very thin after blending and it looks like water. however the one i bought from whole food is very thick. i don’t know why. i use the same cup ,same almond milk and the same blender. the next jar i will get from whole foods i think. the reason i choose to keep using this is i really like the smell like the original raw food and every morning i can flush my poop very easy after i use the bathroom. it’s not good if yr poop always stick on the toilet. i used a lot of different brands of meal replacement shakes and this is the only one that you can find yr poop is not sticky anymore. oh by the way, the one i got from whole foods can really suppress my appetite. i don’t want to eat any other stuff at all after i finish the shake for at least 3 hours.even my favorite food. but with the one i bought from ""x brand"" i have no feeling at all. in the morning i feel hungry again after like less than one hour! i just finished my shake!",Quality/Contaminated
huge pills. the pills are huge and super difficult to cut (and they leave a very bad taste if you do)other than that if you are able to swallow them it's probably ok,Too big to swallow
"how not to deliver a package!. the product it’s self is ok.my complaint is that the delivery guy put it on my car.  this isn’t acceptable delivery protocol.  he even called me, i said to leave on the porch.",Shipment and delivery
"an unparalleled level of transparency- however as prenatals i'd only recommend them if you want something strictly vegan. first things first - the vitamin supplement industry, despite being huge is largely unregulated. you have literally no way of verifying that what they say is what you get. ""x brand"" elements changes that with each of their elements multivitamins being independently tested and whose results you are able to easily view right here on the product page or via the ""x brand"" mobile app. you are even able to view the source, country of origin of every single line item in its ingredients list. that is a real game changer if ever there was one.""x brand"" elements prenatals:- as mentioned earlier, these vegan , plant/whole-food based prenatal vitamins are top notch when it comes to quality and responsibly sourced ingredients. it does not get any better than this- however since they are plant based , their pill size is quite huge and on top of that you'd have to take 2 pills each day to meet its recommended dosage levels.- they have a somewhat foul smell as well . now during pregnancy your senses of smell literally increases tenfold and that makes these pills, alongwith their huge size and dosage, very very hard to take- another important thing to note that since these pills are vegan , they do not supply omega-3, dha &amp; epa as other fish-based prenatal vitamins do- omega-3, dha &amp; epa are essential nutrients in the development of a healthy brain of a developing newborn fetus and most ob/gyn doctors recommend taking prenatals with omega-3/epa/dha.- hence always consult with your doctor if you plan on taking these or any particular brand of prenatalsfinal thoughtsi would rate the prenatal itself a 3/5 due to the lack of omega-3/epa, dha however i must also give credit due to their incredible level of transparency that ""x brand"" provides with everything accessible upfront . in the end i'd recommend these only if you wanted something strictly vegan if you have dietary restrictions . if not i'd recommend take something which has omega-3, dha &amp; epa",Color and texture
"the packaging is ridiculous. i like the bars and they have good flavor.  but the box of them came in another, much larger box, complete with air packs and some styrofoamish packaging and a freezer pack.  which is totally unnecessary as they don't need to be refrigerated. it's like the seller doesn't understand this and also thought they were breakable.  no wonder they took a week to get here, and now i have all this added non-recyclable garbage to dispose of.  i'll buy the bars again, but not from this seller...",Bad Taste/Flavor
received wrong item. i didn’t receive the correct product. i received patchouli oil instead of the tea tree oil i ordered.  all links show how to return but not when the item doesn’t match the item on the receipt.  i love the tea tree oil but since i received something else i give it the lowest rating.,Shipment and delivery
weird after taste. normally like on products but the birthday cake one had a strange after taste. the rest of the on whey products taste great tho,Texture
rating shipping not product yet!!!. i’m not rating the product just rating the packaging. i received my purchase today luck for me it was put in a bag. cap was broken and item leaked not a lot but still leaked. since cap is broken guess i need to find something else to pour it into.,Packaging
"bad packaged. i love the flavor, but the bottle leaks, i have purchased the product a few times and both bottles have leaked.  this product is way to expensive for it to leak every time i use it. will not buy again",Quality/Contaminated
it has a horrible taste. the container did not contain the palette to measure the service portion in the description it was specified that if it was included and sincerely it has a horrible taste,Bad Taste/Flavor
do not buy. item did not give me the energy it advertised,Customer Service
"lacks biotin. i don't drink coffee, energy drinks, soda, or tea and yet, my energy levels are good. i decided to try this product to see if it would take my energy levels from good to off the charts. however, it didn't do much. i think it might have to do with the fact that it's imbalanced.there are 8 b-vitamins in existence. all b-vitamins have in common an essential role. they all function to convert food into energy. so why is biotin missing from this product? biotin is a b-vitamin/ essential nutrient that's needed to convert food into energy. therefore, it makes no sense that this vitamin is absent.here is a list of the b-vitamins in this product:vitamin b-1/ thiamin: 100%.vitamin b-2/ riboflavin: 100%.vitamin b-3/ niacin: 100%.vitamin b-5/ pantothenic acid: 300%.vitamin b-6/ pyridoxine hydrochloride: 100%.vitamin b-7/ biotin: 0%.vitamin b-9/ folate: 100%vitamin b-12/ methylcobalamin: 33,333%.so let me get this straight. this product contains 33,333% of b-12 and 0% biotin? talk about imbalanced. no b-vitamins should be missing since they all convert food into energy.",Ingredients
to big to swallow. i cant say if these pills work nor if my husband can even swallow them. no where did i read how large the pills were. i love now products but stumped on this one. my hubby has not even seen them yet but i know for a fact he will not even attempt due to the size. and three at one time ! disappointed is an understatement of size.,Too big to swallow
"too many per day for me.... when i purchased this,  i didn't realize you had to take 4 a day.  i love whole food vitamins that you can take anytime without getting nauseous  but 4 is too many for me.",Allergic
fishy smell. smells extremely fishy.,Bad Taste/Flavor
terrible tasting. even after shaking it the protein powder stuck to the bottom and it tasted horrible,Bad Taste/Flavor
"weird texture and taste. i've been taking gummy vitamins for years and usually buy whichever store brand is least expensive and have never had an issue. tried these because i didn't feel like going to the store, and i was very disappointed. the texture is very weird and not at all like any gummy anything (including candy) that i have ever tried. they almost dissolve instead of getting chewed up, but they left a gritty taste and feel on my teeth. back to the brick and mortar drug stores, because i won't be buying these again.",Texture
"did not work for me.  not a bioavailable form of iron. i began taking this after my iron levels were deemed low in pregnancy.  i have now been taking this for over 4 months (november-march) and just got my labs taken again - my hemoglobin levels have not improved at all.  i was at 11.1g/dl before and i am exactly 11.1g/dl after.  (11.7-15.5 g/dl is my target.)  i have ordered and will be trying a different iron supplement, iron bisglycinate, as it is reportedly more bioavailable, i.e. easily absorbed and utilized by the body.",Not Effective
not impressed.. this is advertised as not having the specific tastes of other stevia products..  it still has that odd flavor.  i do not recommend if you are paying this price trying to find a product that does not have that known after taste.,Bad Taste/Flavor
not sealed!. huge fan of this product and flavor but it was not sealed when i received it!,Bad Taste/Flavor
good pre-natal but received a bad batch. i have used this vitamin before for my first pregnancy and have already gone through one bottle with my second pregnancy. but this bottle has a fishy smell and the pills have a weird awful taste to them when you put it in your mouth. i would recommend but this bottle i received was horrible and made an already nauseous pregnant woman even more nauseous.,Quality/Contaminated
diarrhea pills. gave me terrible diarrhea and stomach pains. my dad on the other hand has no problem with these.,Allergic
"sickingly sweet. i prefer vitafusion vitamins and use d3, b12, melatonin, biotin, and regular vitamins.  i thought i would give these a try.  my biggest mistake.  they are not like any of the other products i have used.  the best way to describe them is they are like large gumdrops coated in sugar.  you pick them up and the first thing you notice is they are much larger than any of the others.  they are coated in a sugar type substance and very chewy.  i have to force myself to take these as i would rather not.  i will not buy any more of these ever until they change the way the product is created.  blech too too sweet.",Customer Service
"great ingredients, poor blending texture. i liked the ingredients in this protein powder—that’s why i selected it over many others.  the reason it didn’t receive five stars is because of the texture formed when mixed with liquid.  it seemed to not fully blend and i ended up with undissolved clumps.",Shipment and delivery
"arrived in broken bottle with no recourse from amazo. thank you for submitting a customer review.thank you for submitting a customer review on ""x brand"". after carefully reviewing your submission, your review could not be posted to the website. while we appreciate your time and comments, reviews must adhere to the following guidelines:http://www.""x brand"".com/review-guidelinesnew chapter fish oil supplement - wholemega wild alaskan salmon oil with omega-3 + vitamin d3 + astaxanthin + sustainably caught - 120 count  ★  from david on june 5, 2019arrived in broken bottlearrived in broken bottle with no recourse from ""x brand"".",Ingredients
"3 strikes & you're out!. love love love these bars!!  they are amazing!  however, was shipped 6 boxes of expired bars 3 times in a row within the last 2 weeks.  bye bye ""x brand""!",Expiry
"could atleast try.. came poorly packaged. clear signs of damage. multiple cans were broken. making a mess in my hall, had to be rinsed in the sink. dried then finally put in the fridge. kinda a pain.",Packaging
"easily clumped, low flavor. i did not like that this salt clumped badly making it difficult to get out. it seemed that i had to use more salt to season my food, not very salty.",Bad Taste/Flavor
"don't trust. of the last four bottles ordered, three had leaking gelcaps and two of the bottle safety seals (covering the opening of the bottle after the cap is removed) were not sealed at all, they stuck to the cap when i opened the bottle.""x brand"" policy is no refunds on this item even though it was sold and shipped by ""x brand"", so i contacted customer service and told them of the issues. they offered a refund.i never had a problem ordering these from ""x brand"" until recently. it may be they were stored in too hot a warehouse which causes gelcap leaking, but i don't know if that's the reason the safety seals were unattached. the bottles i received expire in oct. 2020, so they are still within their ""fresh"" window, but high temperatures will probably weaken their efficacy.",Texture
"huge and smelly, but maybe the price is right. these are huge! and they smell terrible. i have sensory issues, but pills usually aren't prohibitively problematic. these, though, are the biggest and smelliest pills i have ever seen. these are the best for the price, especially given the potency which is hard to find for magnesium. but i think paying the premium for something more palatable might be worth it.",Too big to swallow
"same price as huggies. ok i really wanted to like these. in fact i did at first. i thought they were suppose to be a great deal or cheaper option to name brand, but they arent. they are more expensive than huggies, which work much better. this wipes work a little better than walmart brand wipes. if they were the same price as those that would be fantastic and these would be the only baby wipes i used! but a box of huggies wipes are 2 dollars cheaper for the same amount. i will still give them 3 stars, because they do work, smell great, and didnt break out either of my daughters. i just cant justify the higher pricing.",Pricing
"the flavor is a big issue. i have the vanilla flavor, it’s not good at all! very sweet and synthetic flavor. im mixing it with fruits to make it taste better.it is recommended to add 6 scoops to get the serving size, ending up either too thick or a lot of shake. i usually use 2 scoops and its on the thicker side.however, this is huge bucket of powder! so its a great value for the money.",Too Sweet
item lost. never received order,Shipment and delivery
artificial sweetener.... artificial sweeteners usually have an after taste and this product is the same. if i don't like the taste of something i will not consistently use it.,Bad Taste/Flavor
triggered my reflux so bad!. this gave me really bad heartburn. i was hoping my body would adjust to the oil content but after a week of nonstop flaming esophageal reflux i had to stop taking them.,Allergic
"check the size of the pill first!. i wish i had read some of these reviews before i bought these, they are huge.  i tried to cut them in half, yup not a good look.  they still are very jagged and hard to swallow.  i just chewed them straight up and then take a swig of water.  the bottle is big and the pill size is ridiculous.",Color and texture
"not that great. i didn’t really like these prenatal vitamins.  they were way to soft.  i wish they were firmer.  however, they did the job!",Texture
"damaged in transit. why do you insist on selling this product in such large bulk? and end up damaging the packing  during shipping because it becomes heavy? if you cannot package and ship them properly, your product becomes useless",Packaging
"the taste tho..... ok so the ingredients are great for my needs (trying to do low carb, allergic to dairy/whey, and follow a fertility friendly diet), but the taste is just god awful.  it doesn't taste anything like chocolate.  the artificial taste is gagging.  the only way i can consume this is to mix one half scoop of this with a scoop of my lean-1 powder.  even then the bad taste comes through just not as strong.  i'm giving this 2 starts because i think the ingredients are great and i'm going to choke it down for the health benefits -- but it would get zero stars for taste.",Bad Taste/Flavor
"not a huge fan but okay. first, i lost zero weight using this...zero. next, i didn't find it as appetizing as the other regular meal replacement formula and also felt it was harder to digest despite including probiotics. last but not least, wasn't a huge fan of the flavor. in general, this was one of my less favorite forms from this brand.",Shipment and delivery
"bad packaging. definitely received the product with no top 🤦🏾‍♀️...it didn’t leak out, thankfully, but fix the packaging. there is no way you didn’t know that there wasn’t a top when you sent it. we not but again.",Quality/Contaminated
"never arrived no o e respond the messages. this maybe an scan now, i supposed to receive my item over a week ago and nothing! i have written twice to them nd no one has responded yet! i want my money back or the item...this is such a terrible experience! this vitamin is for my 64 years old mother and she keeps waiting",Shipment and delivery
"good protein supplement but too sweet for my taste. i have been using optimum nutrition performance whey isolate protein for the last few years. so, all my comments are comparing the muscletech nitrotech to optimum nutrition performance whey isolate protein.the muscletech protein is fine powder and easily dissolve in liquid or shake. there is no after taste but to me it tastes too sweet.muscletech has lower cholesterol & calories per serving but has more sodium and less protein (25g/serving for muscletech vs. 30g/serving for optimum).decent  protein supplement but i would stay with optimum since it does provide more protein at a lower cost.",Too Sweet
"just bought this product, my initial opinion. i'm a real person. i bought the gnc pro bulk 1340 expecting the god of all protein powders, but my initial overall opinion of this powder is lackluster.i thought “gainer 1340” was just a cool name for a protein powder. i felt stupid to realize that this was the amount of calories that were in 4 full servings of this product. which is a lot. which is good. it means this thing must be loaded with carbs and protein right?? well, not the case actually. comparing this product with my previous mass gainer that ran out, i was surprised to find out that this powder had over double the calories, but still less carbs and protein than my previous powder! which begs the question where are all these calories coming from. well judging on the taste of it, probably sugar. it is a very sweet drink that taste quite nice compared to most other products. it has a little artificial taste, but overall it went down smooth. also the amount of vitamin d in this powder is insanely low compared to my previous powder. this powder screams cheap filler protein powder to me. i would not recommend this product at all, unless you are really struggling to gain weight and want a protein powder that is palatable and calorie dense. scoop sizes are a little bigger than average, but doable. also it’s important to note this product has a gram of creatine monohydrate per 4 servings, so if you are at all worried about the male pattern baldness side effect from taking creatine. i would stay away from all protein powders that have it in them. i do not look forward to forcing myself to drink this powder for a month. it is 650 calories over my previous shake, so i guess i’ll start running 6 miles now. also i’m going to have to find foods to replace the missing carbs and protein that i got when i bought this product.fyi this is just my initial review. i'll take this for a month and probably leave another review.",Bad Taste/Flavor
"made me sick!. these gave me some of the worst stomach pain i've ever had. you have to throw up to get rid of it, it's terrible in the upper belly region. so many good reviews vs. the bad ones, so perhaps it affects people differently. be careful.",Quality/Contaminated
"too sweet. as far as a multivitamin goes sure it has all you need for prenatal care. but these are so sweet like i am telling you, pure sugar! i could hardly even chew them they were so sweet. if you like really sweet multivitamins these are for you, if you don’t like sugar too much, i recommend getting something different.",Too Sweet
"look at expiration dates!!!. i received my 3 pack in a timely manor. 2 of the 3 bottles of this vitamin supplement have an expiration date of june, 2019!!! i know that vitamins are still good after the expiration date but this is disappointing that the company would package vitamins like this.",Expiry
not good at all. this toilet paper was a huge disappointment. i’m honestly embarrassed to put this in my guest bathroom. we’re a charmin family but i was looking for a cheaper alternative. this is like the stuff they put in schools or public bathrooms.,Too big to swallow
"upset my stomach and questionable ingredients. although some of the advertised ingredients are questionable from studies done on their effectiveness, the vitamin met standards and i didn't see anything that could cause harm. in addition, the vast majority of reviewers seemed happy with the way they felt. the softgel is easy to swallow and has no taste, though there is a mild medicine like scent from the bottle. unfortunately, within an hour of taking the softgel i became extremely sick of my stomach, which is rare for me and the softgel doesn't appear to contain anything that can usually lead anyone to have a reaction. i tried it again at a later time and in a more controlled setting in order to cancel out other factors that may have caused the stomach issues and i am pretty certain the softgel was the issue. it appears a small number of us have issues with this softgel.",Ingredients
"never received the item. this item was never shipped out and ""x brand"" eventually issued a refund. never heard from the company and the tracking number still says it was never received by usps.",Shipment and delivery
"i miss my vitafusions. delicious!!! but for the first time after so many orders i received them uneatable twice. they were melted. please fix this ""x brand""",Packaging
"some flavors have an odd aftertaste.... these gummies aren't bad. they really helped me get through a few weeks in my pregnancy where i was gagging on everything, especially my giant usual pre-natal vitamins. the orange and yellow gummies are delicious and basically taste like candy. however, i have to give them 3 stars (and didn't finish my bottle) because the red ones taste very strongly of fish. i had to hold my nose in order to get them down. eventually i just gave up, used up the orange and yellow, and switched back to my regular pre-natal.",Quality/Contaminated
it has done nothing. i have been taking this multivitamin over two months. it tastes good but so far it has done nothing to my body. it doesn't have enough nutrition for daily consumption. it used cheap ingredient such as folic acid. it has a little bit of calcium but it doesn't have magnesium to complement calcium. i decided no long to buy this product. it only promotes my being pre-diebetes to diabetes due to sugar being contained.,Ingredients
ease of use. the product has a very bad tendency to clump together in the bottom of the jar. difficult to separate. like that there is no fish and after taste that repeats. price is okay.,Quality/Contaminated
"does not work, find something else. i was using six star testosterone booster before this (which gave me increased energy, stamina etc. at more than half the price). since six star worked so well, i decided to spend a little more money, thinking that a more expensive product would provide better results, right? wrong. there was no noticeable difference in energy, libido, stamina, etc. what's more, the herbal mixture seems to not react well when digested, leaving a horrible aftertaste. time to try something else.",Not Effective
"no noticeable effect. thee pills are easy to swallow. instructions are to take three a day. i used both l-arginine and l-glutamine in the past in connection with workouts and recovery. after finishing this bottle i can't say i noticed any benefit. on the other hand, i haven't suffered any negative side effects either.  they seem okay as far as ease of taking and contents but since i enjoyed no apparent benefits i'll not be re-ordering.",Not Effective
are these first quality. what l didn't like about this product that quite a few capsules were broken and leaked.  see photo,Packaging
"terrible taste. these vitamins were expensive and i had heard wonderful reviews so i thought i would give them a shot. ultimately, they tasted so bad that i couldn't bear to eat take them and ended up having to toss them out.",Bad Taste/Flavor
tape on tablet. the capsule has tape on top of it which makes it weird to swallow.,Texture
